Title:,Graduation Rate from the Graduation Rates - All  Students at Postsecondary Schools (2011 - Current) Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,State - Gender: All Genders - Race: All Races/Ethnicities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,2011 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
Citation:,"National Center for Education Statistics (2021-10-22). Graduation Rate: Graduation Rate | Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming | All Genders | All Races/Ethnicities, 2011 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-025-003 doi:https://doi.org/10.6068/DP17D2DF3A13F44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColumnCount:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RowCount:,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Washington DC,West Virginia,Wisconsin,Wyoming
2011,47.73,25.96,54.65,41.9,65.27,53.43,66.59,62.86,49.83,51.68,45.17,44.3,62.58,57.14,64.16,50.74,47.37,42.17,56.68,65.08,69.35,58.45,62.48,49.63,55.86,47.92,57.82,37.57,66.56,64.5,41.53,60.43,59.2,47.6,55.66,44.09,57.77,66.8,66.27,57.29,48.02,51.71,51.3,47.56,65.93,64.28,64.28,73.57,46.72,59.17,53.18
2012,48.62,27.15,54.62,43.41,65.85,54.28,65.88,66.42,51.46,50.92,44.7,44.54,63.16,58.88,65.55,52.58,47.4,44.68,56.39,63.95,70.13,59.25,62.97,50.62,57.24,46.8,57.12,37.73,68.99,64.97,40.56,60.91,59.17,47.34,56.38,44.72,59.28,66.47,66.49,58.39,48.45,51.92,51.14,50.35,66.21,65.01,63.29,72.75,45.81,58.72,54.44
2013,48.3,27.05,54.11,42.24,65.14,54.96,67.81,66.07,51.89,45.76,43.86,45.9,61.85,58.86,64.38,53.17,48.37,46.86,54.86,65.3,70.09,59.18,63.45,49.38,57.53,47.85,57.07,36.4,68.67,64.84,40.4,60.89,60.45,47.84,56.07,45.32,59.43,66.2,67.42,57.15,49.44,52.13,52.04,51.57,65.52,64.68,62.68,73.2,44.68,58.51,54.09
2014,49.1,27.73,24.72,44.58,65.46,54.39,65.97,66.28,50.19,42.08,44.85,44.95,62,59.51,65.2,51.74,48.26,48.31,55.95,65.83,70.59,56.75,63.86,51.61,57.45,45.28,58.06,34.29,66.96,65.18,40.06,61.23,61.33,50.18,55.56,45.25,61.33,66.93,66.13,58.15,50.61,52.55,52.35,48.46,65.54,65.1,61.79,74.01,45.03,59.72,54
2015,48.91,25.54,24.37,44.26,66.12,54.61,67.94,65.9,49.51,39.76,46,47.18,61.78,58.26,65.97,52.84,48.02,47.9,56.33,67.09,71.59,51.81,63.26,51.75,56.98,43.86,58.61,32.83,68.38,64.8,40.08,61.42,60.86,48.75,54.79,44.65,61.49,66.66,67.54,57.85,49.36,50.73,51.94,46.67,66.04,64.37,59.15,74.72,43.48,59.35,55.48
2016,51.77,24.3,29.54,44.58,60.01,50.24,66.56,51.54,48.55,37.52,47.29,44.31,61.62,57.67,67.17,52.31,48.87,49.96,57.57,66.91,72.25,51.84,64.31,51.07,57.27,45.62,59.2,34.07,68.35,65.32,41.8,62.8,61.6,48.97,54.53,44.79,61.64,66.84,69.16,57.62,48.6,50.84,51.94,47.98,65.78,65.81,58.12,74.94,43.75,59.81,55.41
2017,52.15,26.41,28.54,46.31,60.47,51.59,67.48,51.3,48.09,37.87,49.69,46.93,61.79,59.45,68.43,52.84,49.05,49.95,58.15,68.41,73.38,53.66,64.78,51.87,57.05,47.32,60.85,36.2,67.68,66.41,42.58,63.45,61.77,49.5,55.5,43.94,63.35,66.79,70.41,58.92,49.25,50.83,53.22,48.44,67.79,66.29,56.62,74.29,45.8,61.37,58.2
2018,53.67,30.91,39.87,48.53,63.9,52.4,69.27,53.91,50.81,43.49,49.85,49.28,62.61,61.57,68.88,54.09,51.64,51.9,59.87,69.33,74.13,56.57,66.22,53.21,57.62,49.26,60.04,38.18,65.97,68.32,43.57,64.6,63.17,51.54,57.01,47.92,63.49,68.03,72.63,61.2,51.59,54.98,52.96,49.43,67.95,67.19,56.81,75.64,46.56,62.63,56.7
2019,54.95,30.83,39.25,50.41,65.37,52.06,71.18,54,51.98,46.28,51.59,49.14,63.89,62.37,68.94,54.18,52.22,53.68,60.07,71.03,75.49,58.27,66.62,54.66,58.44,47.92,58.91,41.96,64.77,69.74,46.52,65.37,64.02,55.04,57.04,49.78,64.47,68.81,72.47,58.79,51.75,56,52.57,47.4,69.72,67.49,57.66,75.8,47.2,63.69,59.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher:," ""National Center for Education Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,